PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
a7cSi,r4Bk1/5pp1/7p/pB1ppb1q/P5n1/1QPP1N2/5bPP/R4R1K w - - 2 21,b3d5 g4h2 f3h2 f2g3 d5f7 g8f7 f1f5 h5f5 a1f1 g3f4,2610,100,89,1659,crushing middlegame sacrifice veryLong,https://lichess.org/qzT9U0GF#41,
a7cU9,r5k1/6pp/pq1p1r2/1pp1p3/4P3/P7/1P1Q1PPP/2R1R1K1 b - - 0 20,c5c4 d2d5 f6f7 d5a8 f7f8 a8d5,1166,76,89,957,crushing endgame fork long,https://lichess.org/tEtYDTuH/black#40,
a7cVo,6k1/2p1rpp1/1p1p3p/3P4/2P2q2/5Q1P/5PP1/R5K1 b - - 0 29,f4c4 a1a8 g8h7 f3f5 g7g6 f5f6 c4c1 g1h2 c1f4 f6f4,1729,97,82,27,crushing endgame veryLong,https://lichess.org/QUgAgocL/black#58,
a7ck6,rn2kbnr/pp1b2pp/4Np2/qB1pp3/8/1PB1P3/P1P2PPP/RN1QK2R b KQkq - 5 9,a5b5 e6c7 e8d8 c7b5,1148,79,75,441,crushing fork opening short,https://lichess.org/XQf9NQUQ/black#18,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Classical_Variation
a7ckE,r5k1/1b2rq1p/2p3p1/pp6/4BP2/2P3P1/PP1Q4/2K1R2R w - - 1 23,h1h6 a8e8 h6h1 e7e4 e1e4 e8e4,2011,76,92,4914,crushing long middlegame quietMove,https://lichess.org/zoNGEB2a#45,
a7ckU,3r2k1/p1p3pp/bpn5/5p2/Q1P1p1q1/B3P1P1/P2K1P1P/1RR5 w - - 1 23,d2e1 c6e5 c1d1 e5d3 d1d3 e4d3,2588,83,92,1926,advantage long middlegame,https://lichess.org/v6cXquXP#45,
a7cko,6rq/ppp1kr2/2n2p2/3Pp1n1/4P1Q1/2P3RN/P1P3PP/2KR4 b - - 0 26,c6a5 h3g5 g8g5 g4e6,1553,82,87,162,advantage middlegame short,https://lichess.org/ZYTXGQWt/black#52,
a7co2,8/8/5k2/3bb1p1/4p1P1/7P/4B3/5KB1 w - - 3 51,f1f2 e5d4 f2g2 d4g1,1928,91,93,24,bishopEndgame crushing endgame short,https://lichess.org/Yubf5Yuq#101,
a7cse,r4k1r/4bpp1/p4n1p/1p6/2p2B2/2N5/PP2RPPP/4R1K1 b - - 1 23,a8e8 e2e7 e8e7 f4d6,1706,75,96,17753,advantage middlegame pin sacrifice short,https://lichess.org/6HRxiqM3/black#46,
a7cw4,6k1/Q4pb1/3N2pp/3Pn3/7N/2p3P1/4PPKP/1q1b1B2 w - - 0 27,f2f4 d1b3 f4e5 b3d5,2283,122,50,32,crushing middlegame sacrifice short,https://lichess.org/WdSK7Ndq#53,
a7cyE,2r3k1/4RNp1/p6p/1p6/7P/5bP1/PP3P2/3rR1K1 w - - 2 29,f7h6 g7h6 e1d1 f3d1,1099,79,60,935,advantage endgame hangingPiece short,https://lichess.org/FApMywzp#57,
a7cyP,r1b1kb1r/ppq1pppp/2N2n2/8/Q2p4/2P5/PP3PPP/RNB1KB1R b KQkq - 0 8,c7c6 f1b5 c8d7 b5c6,989,77,95,3339,crushing opening pin short,https://lichess.org/J43gZuQr/black#16,Sicilian_Defense Sicilian_Defense_Delayed_Alapin
a7d1c,5rk1/Q5pp/2p3r1/2P2p2/1P1P4/3Bqb2/1P1R1RPP/6K1 w - - 0 28,d3f1 f3g2 f1g2 e3e1 f2f1 e1d2,2013,76,96,3542,crushing deflection kingsideAttack long middlegame sacrifice,https://lichess.org/tvKeGuL6#55,
a7d7b,r2q1rk1/2p3bp/ppb1ppp1/1P6/P1PP4/4QN2/5PPP/RN3RK1 b - - 0 18,a6b5 e3e6 g8h8 e6c6,862,90,95,327,advantage fork middlegame short,https://lichess.org/qoYcyHVn/black#36,Modern_Defense Modern_Defense_Other_variations
a7dBC,8/4k1B1/p3p3/1p1p2n1/P2P4/1P6/1r5P/5RK1 b - - 0 37,b2b3 g7f6 e7d7 f6g5,937,96,95,1431,advantage endgame fork short,https://lichess.org/oLkZik07/black#74,
a7dBS,1k1r4/p1p3pp/1b6/1Q1B4/4P3/P2n2Pq/1P1Nb2P/R1B2R1K w - - 1 21,b5c6 h3f1 d2f1 e2f3,1877,87,92,11357,doubleBishopMate kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/UoU65HHi#41,
a7dIK,r3kr2/pp3pp1/2nQ3p/3Np3/4P2q/5P2/PPP2P2/R3KB2 b Qq - 1 15,h4d8 d5c7 d8c7 d6c7,1316,76,74,304,crushing fork middlegame short,https://lichess.org/tJDJE4Hf/black#30,Philidor_Defense Philidor_Defense_Other_variations
a7dKp,R7/6bk/6p1/3Q1p2/3P2p1/2P3P1/2q1K3/8 w - - 4 46,e2e3 g7h6,1795,78,77,147,endgame mate mateIn1 oneMove,https://lichess.org/26UbJusN#91,
a7dLu,7k/3r3p/p5p1/5P2/8/2rB3P/P3N1QK/2q5 b - - 1 35,c3d3 e2c1 d3d2 c1e2,2152,77,91,1306,advantage defensiveMove endgame hangingPiece short,https://lichess.org/PnOQdZMX/black#70,
a7dXn,8/1Q3pkp/p5p1/8/P7/1P2q3/6PP/2rR3K w - - 2 28,b7d5 e3e1 d1e1 c1e1,1229,76,95,8507,backRankMate endgame mate mateIn2 sacrifice short xRayAttack,https://lichess.org/040EX6W6#55,
a7dd3,8/8/4R1k1/pr1pP3/3P1p1p/2B4P/1n4P1/5K2 b - - 0 37,g6f5 e6f6 f5g5 c3d2,1800,75,87,555,crushing endgame master masterVsMaster short,https://lichess.org/W9L8Oxob/black#74,
a7ddo,4k3/R5Q1/4q3/8/4p1P1/3p1r2/6K1/7r b - - 4 41,f3f2 g2h1 f2f1 h1g2 f1g1 g2g1,1872,77,86,328,crushing endgame hangingPiece long master,https://lichess.org/AG5epnEu/black#82,
a7dhe,8/8/p2rppk1/1p5p/1P3P2/2P1K3/4R1PP/8 w - - 2 29,e2d2 d6d2 e3d2 g6f5 d2e3 f5g4,2322,79,79,126,crushing endgame long rookEndgame,https://lichess.org/2UmmWiZa#57,
a7dj4,q4rk1/p4pbp/5np1/8/2PQ4/2N3Pb/PP2PP1P/R1B2RK1 w - - 1 15,f1e1 a8g2,836,92,73,48,mate mateIn1 middlegame oneMove,https://lichess.org/mlgeCT7y#29,Queens_Pawn_Game Queens_Pawn_Game_Modern_Defense
a7dro,r1b2rk1/ppppq1pp/2n5/8/1bP1nB2/1QN1PN2/PP3PPP/R3KB1R b KQ - 2 11,e4c3 b2c3 b4c3 b3c3,1580,307,100,7,equality opening short,https://lichess.org/2zMFU5iT/black#22,
a7dwF,8/8/1r4kp/1PR5/1n5P/5P2/6PK/8 b - - 4 53,b4d3 c5c6 b6c6 b5c6 g6f6 c6c7,1368,86,86,61,advancedPawn crushing endgame long,https://lichess.org/gboyQxhp/black#106,
a7e86,8/5ppk/5np1/8/1PPp4/1Q3P2/5KPP/2qN4 w - - 1 44,b4b5 c1d2 f2f1 d4d3,1433,75,94,8883,crushing endgame short,https://lichess.org/vLEWIFCU#87,
a7eAk,6k1/p1p1rpp1/3B3p/2R5/8/3Q1P2/q4P1P/6K1 b - - 0 33,c7d6 c5c8 e7e8 c8e8,820,83,82,105,endgame mate mateIn2 short,https://lichess.org/GelkrzwV/black#66,
a7eEH,8/6p1/3B3k/8/3P3p/7P/5rPK/8 b - - 0 45,f2d2 d6f4 h6g6 f4d2,656,79,100,542,crushing endgame fork short,https://lichess.org/sFbdkjky/black#90,
a7eGQ,8/2p5/1p1p1k2/p4p2/5N1K/r2B3P/6P1/8 b - - 1 51,a3c3 f4d5 f6e5 d5c3,909,80,89,405,advantage endgame fork short,https://lichess.org/DpUaQRDE/black#102,
a7eKi,r5k1/pp3p2/3p3p/3P1PP1/2Pq1r2/1P4Q1/P4RP1/R5K1 w - - 3 26,g5h6 f4g4 g3g4 d4g4,1352,89,83,53,advantage defensiveMove endgame short,https://lichess.org/62weP3ip#51,
a7eNS,8/R6p/1p1npqpk/1r1p4/2pP4/4PB2/2KQ1PPP/8 b - - 1 29,f6f5 e3e4 f5g5 a7h7 h6h7 d2g5,1723,75,97,24296,crushing deflection discoveredAttack endgame long,https://lichess.org/yKDtBjqW/black#58,
a7eOb,r1b2rk1/3p1ppp/pq2p3/1p3P2/1P1nP3/P1N5/B5PP/2RQ1R1K b - - 4 18,f7f6 c3d5 e6d5 a2d5 g8h8 d5a8,2006,73,94,10379,crushing fork long middlegame sacrifice,https://lichess.org/fUXlegyD/black#36,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
